field,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,rcid
194,321.36556,-38.65,0.09,4.5911,-46.4569,311.2432,-22.2759,0
195,329.8463,-38.65,0.02,4.2353,-53.0738,317.9847,-24.6438,0
196,338.32704,-38.65,0.01,2.5456,-59.6287,324.7428,-27.2772,0
197,346.80778,-38.65,0.01,358.5746,-65.9996,331.5514,-30.1408,0
198,355.28852,-38.65,0.01,350.2341,-71.9201,338.4557,-33.1962,0
199,0.6268199999999999,-31.45,0.01,8.4038,-79.1039,346.8701,-28.8431,0
200,8.37561,-31.45,0.01,341.8662,-84.7293,353.6762,-31.8792,0
201,16.12439,-31.45,0.02,264.1338,-84.7293,0.6874,-34.9557,0
202,23.873179999999998,-31.45,0.02,237.5962,-79.1039,7.9705,-38.0273,0
203,31.621959999999998,-31.45,0.02,231.1666,-72.6735,15.601,-41.0427,0
204,39.37075,-31.45,0.02,229.3097,-66.096,23.6604,-43.9442,0
205,47.11954,-31.45,0.02,229.137,-59.4874,32.2308,-46.6657,0
206,54.86832,-31.45,0.01,229.7926,-52.8883,41.3849,-49.1325,0
207,62.61711,-31.45,0.04,230.9466,-46.3214,51.1685,-51.2624,0
208,70.36589000000001,-31.45,0.01,232.4533,-39.8043,61.5774,-52.9692,0
209,78.11468,-31.45,0.02,234.2463,-33.3535,72.5334,-54.171,0
210,85.86346,-31.45,0.03,236.2992,-26.9867,83.8715,-54.8013,0
211,93.61225,-31.45,0.06,238.6088,-20.7237,95.3532,-54.8222,0
212,101.36104,-31.45,0.08,241.1875,-14.5877,106.7092,-54.2322,0
213,109.10982,-31.45,0.17,244.0592,-8.6065,117.6972,-53.0673,0
214,116.85861000000001,-31.45,1.09,247.2579,-2.8135,128.1465,-51.3922,0
215,124.70617,-31.45,0.15,250.874,2.8198,138.0944,-49.259,0
216,132.6525,-31.45,0.17,254.974,8.2321,147.5085,-46.7423,0
217,140.59883,-31.45,0.1,259.5724,13.2859,156.307,-43.9552,0
218,148.54516999999998,-31.45,0.06,264.725,17.9034,164.5678,-40.9787,0
219,156.4915,-31.45,0.06,270.4761,21.9936,172.3794,-37.8836,0
220,164.43783,-31.45,0.06,276.8436,25.4541,179.8296,-34.7321,0
221,172.38416999999998,-31.45,0.06,283.7996,28.1778,186.9992,-31.579,0
222,180.3305,-31.45,0.06,291.2535,30.0629,193.9595,-28.4729,0
223,188.27683000000002,-31.45,0.07,299.0446,31.0282,200.7722,-25.458,0
224,196.22316999999998,-31.45,0.07,306.9554,31.0282,207.4891,-22.5752,0
225,204.1695,-31.45,0.05,314.7465,30.0629,214.1531,-19.8623,0
226,212.11583,-31.45,0.07,322.2004,28.1778,220.7983,-17.3552,0
227,220.06217,-31.45,0.13,329.1564,25.4541,227.4508,-15.0875,0
228,228.0085,-31.45,0.21,335.5239,21.9936,234.1288,-13.0903,0
229,235.95483,-31.45,0.11,341.275,17.9034,240.8432,-11.3921,0
230,243.90117,-31.45,0.31,346.4276,13.2859,247.5978,-10.0181,0
231,251.8475,-31.45,0.28,351.026,8.2321,254.3902,-8.9891,0
232,259.79382999999996,-31.45,1.36,355.126,2.8198,261.2126,-8.3215,0
233,267.64139,-31.45,0.79,358.7421,-2.8135,267.9681,-8.0273,0
234,275.39018,-31.45,0.23,1.9408,-8.6065,274.6429,-8.0975,0
235,283.13896,-31.45,0.12,4.8125,-14.5877,281.3082,-8.525,0
236,290.88775,-31.45,0.12,7.3912,-20.7237,287.9517,-9.3032,0
