field,RA,Dec,Ebv,Gal_Long,Gal_Lat,Ecl_Long,Ecl_Lat,rcid
397,8.73558,-2.65,0.05,114.6618,-65.0227,6.9755,-5.8985,64
398,15.764420000000001,-2.65,0.04,131.3382,-65.0227,13.489,-8.6486,64
399,22.79327,-2.65,0.03,146.9812,-63.2744,20.0812,-11.324,64
400,29.82212,-2.65,0.02,160.2078,-60.0843,26.7799,-13.8881,64
401,36.85096,-2.65,0.03,170.8105,-55.8572,33.6092,-16.3035,64
402,43.87981,-2.65,0.08,179.2247,-50.9324,40.5882,-18.5325,64
403,50.90865,-2.65,0.04,186.0015,-45.5461,47.7292,-20.5375,64
404,57.9375,-2.65,0.22,191.6018,-39.8527,55.0356,-22.2819,64
405,64.96635,-2.65,0.06,196.3678,-33.9526,62.5005,-23.731,64
406,71.99519000000001,-2.65,0.06,200.5455,-27.9124,70.1058,-24.8544,64
407,79.02404,-2.65,0.28,204.3139,-21.7785,77.8224,-25.6265,64
408,86.05288,-2.65,0.62,207.8069,-15.5847,85.6112,-26.0292,64
409,93.08173000000001,-2.65,0.28,211.1299,-9.357,93.427,-26.0526,64
410,100.11058,-2.65,0.91,214.3708,-3.1176,101.2217,-25.6963,64
411,107.17,-2.65,0.16,217.6228,3.1405,108.9828,-24.9649,64
412,114.26,-2.65,0.1,220.9648,9.3964,116.6688,-23.8712,64
413,121.35,-2.65,0.04,224.4665,15.6001,124.2147,-22.4427,64
414,128.44,-2.65,0.03,228.2238,21.7243,131.6006,-20.7107,64
415,135.53,-2.65,0.02,232.3522,27.7344,138.8185,-18.71,64
416,142.62,-2.65,0.04,236.9977,33.5844,145.8709,-16.4782,64
417,149.71,-2.65,0.05,242.3488,39.2104,152.7698,-14.0539,64
418,156.8,-2.65,0.05,248.6488,44.522,159.5343,-11.4757,64
419,163.89,-2.65,0.05,256.1997,49.3891,166.189,-8.7821,64
420,170.98,-2.65,0.03,265.3344,53.6273,172.7621,-6.0108,64
421,178.07,-2.65,0.03,276.3096,56.9891,179.2841,-3.1989,64
422,185.16,-2.65,0.03,289.0738,59.1829,185.7864,-0.3829,64
423,192.25,-2.65,0.02,303.0,59.95,192.3005,2.4008,64
424,199.34,-2.65,0.03,316.9262,59.1829,198.8565,5.116,64
425,206.43,-2.65,0.05,329.6904,56.9891,205.4825,7.7264,64
426,213.52,-2.65,0.06,340.6656,53.6273,212.2032,10.1956,64
427,220.61,-2.65,0.08,349.8003,49.3891,219.0388,12.4871,64
428,227.7,-2.65,0.13,357.3512,44.522,226.0035,14.5648,64
429,234.79,-2.65,0.16,3.6512,39.2104,233.1039,16.3936,64
430,241.88,-2.65,0.17,9.0023,33.5844,240.3383,17.9405,64
431,248.97,-2.65,0.28,13.6478,27.7344,247.6954,19.1757,64
432,256.06,-2.65,0.25,17.7762,21.7243,255.1546,20.0738,64
433,263.15,-2.65,0.26,21.5335,15.6001,262.6867,20.6156,64
434,270.24,-2.65,0.89,25.0352,9.3964,270.2564,20.7891,64
435,277.33,-2.65,1.7,28.3772,3.1405,277.8248,20.5904,64
436,284.38942000000003,-2.65,0.66,31.6292,-3.1176,285.3208,20.0272,64
437,291.41827,-2.65,0.34,34.8701,-9.357,292.7104,19.1166,64
438,298.44712000000004,-2.65,0.25,38.1931,-15.5847,299.9983,17.8758,64
439,305.47596,-2.65,0.07,41.6861,-21.7785,307.1649,16.3299,64
440,312.50481,-2.65,0.06,45.4545,-27.9124,314.1996,14.5081,64
441,319.53365,-2.65,0.07,49.6322,-33.9526,321.1009,12.4427,64
442,326.5625,-2.65,0.04,54.3982,-39.8527,327.8756,10.1678,64
443,333.59135,-2.65,0.08,59.9985,-45.5461,334.5376,7.7188,64
444,340.62019,-2.65,0.04,66.7753,-50.9324,341.1065,5.131,64
445,347.64904,-2.65,0.05,75.1895,-55.8572,347.6065,2.44,64
446,354.67787999999996,-2.65,0.03,85.7922,-60.0843,354.0648,-0.3187,64
447,5.23912,4.55,0.02,109.9695,-57.3406,6.612,2.0961,64
448,12.25,4.55,0.02,123.0,-58.05,13.0397,-0.6503,64
449,19.26088,4.55,0.02,136.0305,-57.3406,19.5004,-3.3261,64
450,26.271759999999997,4.55,0.03,148.104,-55.2996,26.021,-5.8964,64
451,33.28264,4.55,0.05,158.6604,-52.1432,32.625,-8.3267,64
452,40.29352,4.55,0.04,167.5959,-48.1248,39.3314,-10.5824,64
453,47.3044,4.55,0.14,175.0843,-43.47,46.1536,-12.6297,64
454,54.31528,4.55,0.13,181.3923,-38.3537,53.0984,-14.4354,64
455,61.326159999999994,4.55,0.24,186.7807,-32.9037,60.1647,-15.9688,64
456,68.33704,4.55,0.22,191.4694,-27.2113,67.343,-17.2016,64
457,75.34792,4.55,0.07,195.6345,-21.342,74.6156,-18.1102,64
458,82.3588,4.55,0.11,199.4152,-15.3436,81.9569,-18.6762,64
459,89.36968,4.55,0.51,202.9232,-9.252,89.3359,-18.8878,64
460,96.38056,4.55,0.67,206.2514,-3.0953,96.7181,-18.7406,64
461,103.30689,4.55,0.61,209.4423,3.0284,103.9803,-18.2458,64
462,110.14867,4.55,0.2,212.5713,9.0982,111.0934,-17.426,64
463,116.99043999999999,4.55,0.05,215.7493,15.1705,118.1214,-16.2932,64
464,123.83221999999999,4.55,0.03,219.0543,21.2261,125.046,-14.8683,64
465,130.674,4.55,0.03,222.5779,27.2432,131.8566,-13.1766,64
466,137.51578,4.55,0.04,226.4358,33.195,138.5498,-11.2461,64
467,144.35756,4.55,0.04,230.781,39.0452,145.1299,-9.1071,64
468,151.19933,4.55,0.02,235.8249,44.7427,151.6076,-6.791,64
469,158.04111,4.55,0.04,241.8666,50.2114,157.9987,-4.3296,64
470,164.88289,4.55,0.05,249.3296,55.3331,164.3238,-1.7551,64
471,171.72467,4.55,0.04,258.7826,59.9217,170.6066,0.9002,64
472,178.56644,4.55,0.02,270.8574,63.6895,176.8733,3.6042,64
473,185.30822,4.71,0.02,285.5153,66.3652,182.9956,6.4313,64
474,192.25,4.55,0.04,303.0,67.15,189.4704,9.028,64
475,199.09178,4.55,0.03,320.1401,66.2373,195.8578,11.682,64
476,205.93356,4.55,0.02,335.1426,63.6895,202.3412,14.2524,64
477,212.77532999999997,4.55,0.03,347.2174,59.9217,208.9456,16.7047,64
478,219.61711,4.55,0.03,356.6704,55.3331,215.6925,19.0036,64
479,226.45889,4.55,0.04,4.1334,50.2114,222.598,21.1134,64
480,233.30067000000003,4.55,0.06,10.1751,44.7427,229.6712,22.9986,64
481,240.14244,4.55,0.07,15.219,39.0452,236.9121,24.6248,64
482,246.98422000000002,4.55,0.07,19.5642,33.195,244.3107,25.9599,64
483,253.826,4.55,0.11,23.4221,27.2432,251.8457,26.9757,64
484,260.66778,4.55,0.13,26.9457,21.2261,259.4854,27.6493,64
485,267.50956,4.55,0.16,30.2507,15.1705,267.189,27.965,64
486,274.35132999999996,4.55,0.2,33.4287,9.0982,274.9101,27.9152,64
487,281.19311,4.55,0.77,36.5577,3.0284,282.6007,27.501,64
488,288.11944,4.55,2.19,39.7486,-3.0953,290.3091,26.7208,64
489,295.13032000000004,4.55,0.24,43.0768,-9.252,297.9917,25.5801,64
490,302.1412,4.55,0.14,46.5848,-15.3436,305.523,24.1128,64
491,309.15207999999996,4.55,0.09,50.3655,-21.342,312.884,22.3508,64
492,316.16296,4.55,0.07,54.5306,-27.2113,320.0677,20.3295,64
493,323.17384,4.55,0.05,59.2193,-32.9037,327.0781,18.0866,64
494,330.18472,4.55,0.07,64.6077,-38.3537,333.9281,15.6605,64
495,337.1956,4.55,0.1,70.9157,-43.47,340.6376,13.0893,64
496,344.20648,4.55,0.07,78.4041,-48.1248,347.2317,10.4108,64
497,351.21736,4.55,0.1,87.3396,-52.1432,353.7386,7.6619,64
498,358.22823999999997,4.55,0.08,97.896,-55.2996,0.1885,4.8785,64
499,1.77362,11.75,0.09,107.0733,-49.553,6.3445,10.0661,64
500,8.75787,11.75,0.08,117.597,-50.7038,12.6835,7.3276,64
501,15.742120000000002,11.75,0.04,128.403,-50.7038,19.0131,4.6563,64
502,22.726370000000003,11.75,0.07,138.9267,-49.553,25.3605,2.0851,64
503,29.710620000000002,11.75,0.08,148.6927,-47.3449,31.7496,-0.3539,64
504,36.69487,11.75,0.1,157.4333,-44.2331,38.2002,-2.6293,64
505,43.679120000000005,11.75,0.22,165.0874,-40.3887,44.7273,-4.7103,64
506,50.66337,11.75,0.4,171.7311,-35.9694,51.3404,-6.5673,64
507,57.647619999999996,11.75,0.16,177.5028,-31.1064,58.0427,-8.1724,64
508,64.63186999999999,11.75,0.33,182.5543,-25.9029,64.8311,-9.5002,64
509,71.61613,11.75,0.27,187.0271,-20.4378,71.6959,-10.5288,64
510,78.60038,11.75,0.46,191.0443,-14.7713,78.6213,-11.2401,64
511,85.58463,11.75,0.28,194.7099,-8.9492,85.5867,-11.6217,64
512,92.56888000000001,11.75,0.55,198.1128,-3.0068,92.5681,-11.6664,64
513,99.62356,11.75,0.44,201.3615,3.0889,99.6103,-11.3688,64
514,106.74866999999999,11.75,0.08,204.5237,9.3168,106.6875,-10.7243,64
515,114.02378,11.75,0.03,207.703,15.7284,113.8531,-9.7221,64
516,121.29888999999999,11.75,0.04,210.9116,22.173,120.9387,-8.391,64
517,128.574,11.75,0.03,214.2405,28.6309,127.9321,-6.7553,64
518,135.84911,11.75,0.04,217.8038,35.08,134.8287,-4.8431,64
519,143.12422,11.75,0.03,221.7579,41.493,141.6317,-2.6858,64
520,150.39933,11.75,0.03,226.3336,47.832,148.3514,-0.3167,64
521,157.67444,11.75,0.04,231.8961,54.0379,155.0047,2.2294,60
522,164.94956000000002,11.75,0.02,239.0577,60.0096,161.6142,4.9169,64
523,172.22467,11.75,0.04,248.8812,65.5574,168.207,7.7095,64
524,179.49978000000002,11.75,0.02,263.1246,70.304,174.8145,10.5701,64
525,186.77489,11.57,0.03,283.9516,73.3569,181.5459,13.2963,64
526,193.9,11.75,0.02,308.97,74.2736,188.0719,16.2836,64
527,201.02511,11.75,0.02,332.4541,72.3173,194.7893,19.0601,64
528,208.15022,11.75,0.03,349.7269,68.3837,201.6573,21.7508,64
529,215.12533,11.75,0.03,1.3793,63.4528,208.5579,24.262,64
530,222.10044,11.75,0.03,9.6885,57.9524,215.6598,26.6111,64
531,229.07556,11.75,0.04,15.9599,52.1377,222.9828,28.7566,64
532,236.05067000000003,11.75,0.04,20.9713,46.143,230.5364,30.6566,64
533,243.02577999999997,11.75,0.05,25.1835,40.0434,238.3177,32.2702,64
534,250.00089,11.75,0.06,28.8815,33.885,246.3083,33.559,64
535,256.976,11.75,0.08,32.2514,27.6988,254.4732,34.4899,64
536,263.95111,11.75,0.14,35.423,21.5077,262.7613,35.0374,64
537,270.92622,11.75,0.12,38.4936,15.3306,271.1096,35.1857,64
538,277.90133,11.75,0.18,41.5422,9.1851,279.4485,34.9305,64
539,284.87644,11.75,0.77,44.6385,3.0889,287.7096,34.2792,64
540,291.93112,11.75,0.98,47.8872,-3.0068,295.9242,33.2366,64
541,298.91537,11.75,0.19,51.2901,-8.9492,303.8699,31.8522,64
542,305.89962,11.75,0.14,54.9557,-14.7713,311.599,30.1525,64
543,312.88387,11.75,0.1,58.9729,-20.4378,319.0975,28.1769,64
544,319.86812000000003,11.75,0.06,63.4457,-25.9029,326.3662,25.9669,64
545,326.85237,11.75,0.07,68.4972,-31.1064,333.4181,23.5647,64
546,333.83662000000004,11.75,0.07,74.2689,-35.9694,340.2749,21.0115,64
547,340.82087,11.75,0.06,80.9126,-40.3887,346.9642,18.3474,64
548,347.80512000000004,11.75,0.05,88.5667,-44.2331,353.5171,15.6109,64
549,354.78937,11.75,0.05,97.3073,-47.3449,359.9663,12.8386,64
550,1.37527,18.95,0.05,109.0015,-42.4675,9.0145,16.7931,64
551,8.62509,18.95,0.06,118.27,-43.5171,15.4991,13.9766,64
552,15.87491,18.95,0.05,127.73,-43.5171,21.945,11.2468,64
553,23.12473,18.95,0.06,136.9985,-42.4675,28.3831,8.638,64
554,30.37455,18.95,0.06,145.7404,-40.4352,34.8396,6.1834,64
555,37.624359999999996,18.95,0.11,153.7381,-37.5348,41.3354,3.9147,64
556,44.874179999999996,18.95,0.14,160.9046,-33.9016,47.8863,1.8627,64
557,52.124,18.95,0.12,167.254,-29.6687,54.5016,0.0562,64
558,59.373819999999995,18.95,0.31,172.8605,-24.9544,61.1849,-1.478,64
559,66.62364000000001,18.95,0.37,177.8232,-19.8571,67.9332,-2.7164,64
560,73.87345,18.95,0.36,182.2453,-14.4557,74.7378,-3.6389,64
561,81.12326999999999,18.95,0.35,186.2235,-8.8128,81.5848,-4.2304,64
562,88.37309,18.95,0.55,189.8442,-2.9775,88.4566,-4.4806,64
563,95.57843000000001,18.95,0.54,193.1636,2.9745,95.2908,-4.3869,64
564,102.73929,18.95,0.08,196.2527,9.0106,102.0674,-3.9572,64
565,109.79245,18.95,0.07,199.1494,15.0502,108.7093,-3.213,64
566,116.84562,18.95,0.06,201.9568,21.1645,115.3038,-2.1621,64
567,123.89878,18.95,0.04,204.7324,27.3371,121.8403,-0.8208,64
568,130.95195,18.95,0.02,207.5413,33.5534,128.3134,0.7909,64
569,138.00511,18.95,0.03,210.465,39.7993,134.7228,2.6498,64
570,145.05827,18.95,0.02,213.6165,46.0595,141.0739,4.7305,64
571,152.11144,18.95,0.03,217.1686,52.3152,147.3779,7.0057,62
572,159.1646,18.95,0.03,221.4143,58.5388,153.6507,9.4467,64
573,166.21777,18.95,0.02,226.9083,64.6829,159.9136,12.0238,64
574,173.27093,18.95,0.02,234.8409,70.6473,166.1918,14.7062,64
575,180.3241,18.95,0.04,248.1371,76.1726,172.5148,17.462,64
576,187.38957,18.95,0.02,274.1357,80.4444,178.9269,20.2632,64
577,194.55043,18.95,0.02,317.5189,81.2901,185.5424,23.1079,64
578,201.71129,18.95,0.02,350.7895,77.8833,192.3152,25.9203,64
579,208.96753,18.95,0.03,7.7093,72.4881,199.3809,28.6954,64
580,216.23608,18.95,0.02,17.1225,66.4385,206.7049,31.3546,64
581,223.50463,18.95,0.04,23.3117,60.144,214.3135,33.8444,64
582,230.77317999999997,18.95,0.05,27.9346,53.7447,222.2363,36.1132,64
583,238.04172999999997,18.95,0.05,31.7173,47.3023,230.4891,38.1078,64
584,245.31027000000003,18.95,0.05,35.0253,40.8502,239.0673,39.7748,64
585,252.57882,18.95,0.08,38.0659,34.4103,247.9406,41.0644,64
586,259.84737,18.95,0.06,40.9703,27.9997,257.0496,41.9339,64
587,267.11592,18.95,0.09,43.8309,21.6339,266.3079,42.3523,64
588,274.38447,18.95,0.17,46.7205,15.3288,275.6105,42.3039,64
589,281.65302,18.95,0.32,49.7021,9.1022,284.8462,41.7906,64
590,288.92157000000003,18.95,2.15,52.8364,2.9745,293.9127,40.8314,64
591,296.12691,18.95,0.34,56.1558,-2.9775,302.6536,39.4736,64
592,303.37673,18.95,0.12,59.7765,-8.8128,311.1475,37.7426,64
593,310.62655,18.95,0.1,63.7547,-14.4557,319.3148,35.696,64
594,317.87636000000003,18.95,0.09,68.1768,-19.8571,327.1555,33.3868,64
595,325.12618,18.95,0.12,73.1395,-24.9544,334.6883,30.8676,64
596,332.376,18.95,0.04,78.746,-29.6687,341.9446,28.1893,64
597,339.62582000000003,18.95,0.06,85.0954,-33.9016,348.9633,25.3994,64
598,346.87564,18.95,0.11,92.2619,-37.5348,355.7863,22.5427,64
599,354.12545,18.95,0.09,100.2596,-40.4352,2.4564,19.6609,64
600,0.9616,26.15,0.05,110.5578,-35.3594,11.8997,23.4759,64
601,8.4872,26.15,0.04,118.8068,-36.3277,18.4884,20.5887,64
602,16.0128,26.15,0.05,127.1932,-36.3277,25.0085,17.8098,64
603,23.5384,26.15,0.11,135.4422,-35.3594,31.4953,15.1744,64
604,31.064,26.15,0.08,143.3067,-33.4728,37.9781,12.7157,64
605,38.5896,26.15,0.2,150.6106,-30.756,44.4798,10.4654,64
606,46.1152,26.15,0.15,157.2628,-27.3175,51.0169,8.4536,64
607,53.6408,26.15,0.17,163.2458,-23.2696,57.5997,6.7079,64
608,61.1664,26.15,0.48,168.5925,-18.7172,64.2319,5.2534,64
609,68.692,26.15,1.05,173.3633,-13.7516,70.9115,4.1117,63
610,76.2176,26.15,0.36,177.6294,-8.4497,77.6311,3.3006,64
611,83.7432,26.15,0.72,181.4621,-2.8742,84.3789,2.8327,64
612,91.24686,26.15,0.47,184.9183,2.9069,91.1205,2.7156,64
613,98.72856999999999,26.15,0.13,188.0596,8.8513,97.8397,2.9479,64
614,106.21028999999999,26.15,0.08,190.9481,14.9432,104.5405,3.5253,64
615,113.692,26.15,0.04,193.6287,21.1564,111.2093,4.4384,64
616,121.17371000000001,26.15,0.05,196.1417,27.4695,117.8357,5.6731,64
617,128.65543,26.15,0.03,198.5239,33.8649,124.4141,7.2108,64
618,136.13714,26.15,0.04,200.8114,40.328,130.944,9.029,64
619,143.61886,26.15,0.02,203.0429,46.8464,137.4312,11.1024,64
620,151.10057,26.15,0.04,205.2658,53.4093,143.8876,13.4029,64
621,158.58229,26.15,0.03,207.5504,60.0072,150.3311,15.9006,64
622,166.064,26.15,0.01,210.0255,66.6309,156.7861,18.5638,64
623,173.54571,26.15,0.03,212.9996,73.2701,163.283,21.3594,64
624,181.02743,26.15,0.03,217.5543,79.9066,169.8584,24.2524,64
625,188.50914,26.15,0.02,232.6698,86.4342,176.5547,27.2058,64
626,195.99086,26.15,0.02,13.3302,86.4342,183.4202,30.1801,64
627,203.47257,26.15,0.01,28.4457,79.9066,190.5085,33.1325,64
628,210.95429,26.15,0.02,33.0004,73.2701,197.8771,36.016,64
629,218.436,26.15,0.03,35.9745,66.6309,205.585,38.7791,64
630,225.91771,26.15,0.04,38.4496,60.0072,213.6885,41.3645,64
631,233.39943,26.15,0.05,40.7342,53.4093,222.2334,43.71,64
632,240.88114,26.15,0.07,42.9571,46.8464,231.2456,45.7489,64
633,248.36286,26.15,0.06,45.1886,40.328,240.7175,47.4136,64
634,255.84457,26.15,0.05,47.4761,33.8649,250.5968,48.6402,64
635,263.32629,26.15,0.06,49.8583,27.4695,260.7802,49.3759,64
636,270.808,26.15,0.13,52.3713,21.1564,271.1188,49.5862,64
637,278.28971,26.15,0.12,55.0519,14.9432,281.4382,49.2607,64
638,285.77143,26.15,0.29,57.9404,8.8513,291.5671,48.4153,64
639,293.25314,26.15,2.26,61.0817,2.9069,301.3654,47.0891,64
640,300.7568,26.15,0.68,64.5379,-2.8742,310.7676,45.3322,64
641,308.2824,26.15,0.14,68.3706,-8.4497,319.7276,43.2071,64
642,315.808,26.15,0.11,72.6367,-13.7516,328.2184,40.7871,64
643,323.3336,26.15,0.07,77.4075,-18.7172,336.2718,38.1394,64
644,330.8592,26.15,0.08,82.7542,-23.2696,343.9379,35.3261,64
645,338.3848,26.15,0.06,88.7372,-27.3175,351.2751,32.4041,64
646,345.9104,26.15,0.08,95.3894,-30.756,358.3434,29.4246,64
647,353.436,26.15,0.06,102.6933,-33.4728,5.2005,26.4343,64
648,0.57433,33.35,0.07,111.9364,-28.2472,15.1629,30.07,64
649,8.35811,33.35,0.08,119.2782,-29.1378,21.7715,27.135,64
650,16.14189,33.35,0.04,126.7218,-29.1378,28.2837,24.3311,64
651,23.92567,33.35,0.05,134.0636,-28.2472,34.7398,21.693,64
652,31.70944,33.35,0.08,141.1172,-26.5039,41.1723,19.253,64
653,39.49322,33.35,0.06,147.7397,-23.976,47.6059,17.0416,64
654,47.277,33.35,0.16,153.8442,-20.7506,54.0582,15.087,64
655,55.06078,33.35,0.24,159.3958,-16.9212,60.5399,13.415,64
656,62.844559999999994,33.35,0.15,164.3998,-12.579,67.0557,12.0485,64
657,70.62833,33.35,0.58,168.8864,-7.8072,73.6045,11.0067,64
658,78.41211,33.35,0.54,172.8984,-2.6783,80.1806,10.3049,64
659,86.23064000000001,33.35,0.74,176.4975,2.7706,86.8039,9.9525,64
660,94.08393000000001,33.35,0.33,179.7224,8.491,93.4628,9.9598,64
661,101.93721,33.35,0.14,182.5949,14.4152,100.115,10.3289,64
662,109.7905,33.35,0.05,185.1447,20.5066,106.7486,11.0543,64
663,117.64379,33.35,0.06,187.3902,26.7346,113.3541,12.1248,64
664,125.49707,33.35,0.05,189.3352,33.0732,119.9258,13.5249,64
665,133.35036000000002,33.35,0.03,190.9637,39.4994,126.4629,15.2344,64
666,141.20363999999998,33.35,0.02,192.2278,45.9921,132.9706,17.2295,64
667,149.05693,33.35,0.01,193.0249,52.5301,139.4607,19.4836,64
668,156.91021,33.35,0.01,193.1432,59.0882,145.9519,21.9674,64
669,164.7635,33.35,0.02,192.1219,65.6298,152.4702,24.6494,64
670,172.61678999999998,33.35,0.02,188.8217,72.0819,159.05,27.4961,64
671,180.47007,33.35,0.02,179.7619,78.2354,165.7338,30.4718,64
672,188.32336,33.35,0.01,151.6815,83.1548,172.5736,33.5378,64
673,196.17664,33.35,0.02,94.3185,83.1548,179.6314,36.6524,64
674,204.02993,33.35,0.01,66.2381,78.2354,186.9802,39.769,64
675,211.88321000000002,33.35,0.01,57.1783,72.0819,194.7033,42.8352,64
676,219.7365,33.35,0.02,53.8781,65.6298,202.8927,45.7906,64
677,227.58979,33.35,0.02,52.8568,59.0882,211.6435,48.5659,64
678,235.44307,33.35,0.02,52.9751,52.5301,221.0423,51.0811,64
679,243.29636000000002,33.35,0.02,53.7722,45.9921,231.1462,53.247,64
680,251.14963999999998,33.35,0.03,55.0363,39.4994,241.9541,54.9689,64
681,259.00293,33.35,0.05,56.6648,33.0732,253.3744,56.1563,64
682,266.85621000000003,33.35,0.04,58.6098,26.7346,265.2089,56.737,64
683,274.7095,33.35,0.1,60.8553,20.5066,277.1708,56.6721,64
684,282.56279,33.35,0.1,63.4051,14.4152,288.9433,55.9661,64
685,290.41607,33.35,0.17,66.2776,8.491,300.254,54.6655,64
686,298.26936,33.35,2.12,69.5025,2.7706,310.9255,52.8476,64
687,306.08789,33.35,0.57,73.1016,-2.6783,320.8441,50.6153,64
688,313.87167,33.35,0.17,77.1136,-7.8072,330.0317,48.0666,64
689,321.65544,33.35,0.14,81.6002,-12.579,338.5971,45.2778,64
690,329.43922000000003,33.35,0.12,86.6042,-16.9212,346.6273,42.3248,64
691,337.223,33.35,0.09,92.1558,-20.7506,354.215,39.2737,64
692,345.00678,33.35,0.07,98.2603,-23.976,1.4488,36.1817,64
693,352.79056,33.35,0.08,104.8828,-26.5039,8.4083,33.099,64
694,3.4686,40.55,0.09,115.8349,-21.562,21.6318,35.3226,64
695,11.9,40.4,0.06,122.7121,-22.1992,28.3386,32.1525,64
696,20.38973,40.55,0.06,129.6459,-21.6305,35.1496,29.417,64
697,28.87947,40.55,0.05,136.4076,-20.3162,41.8196,26.7751,64
698,37.42753,40.55,0.04,142.8865,-18.1391,48.511,24.3791,64
699,45.9756,40.55,0.14,148.921,-15.1819,55.2033,22.2802,64
700,54.523669999999996,40.55,0.19,154.4437,-11.5358,61.9123,20.5075,64
701,63.07173,40.55,0.99,159.4287,-7.2954,68.646,19.0862,64
702,71.6198,40.55,0.64,163.8795,-2.5518,75.4055,18.0374,64
703,80.23141,40.55,0.57,167.8435,2.652,82.2365,17.3736,64
704,88.84822,40.55,0.41,171.3143,8.2113,89.0843,17.1144,64
705,97.46504,40.55,0.13,174.3127,14.0583,95.9337,17.2643,64
706,106.08185,40.55,0.09,176.8524,20.1368,102.7732,17.8212,64
707,114.69866999999999,40.55,0.06,178.9293,26.3978,109.5933,18.776,64
708,123.31548000000001,40.55,0.04,180.5131,32.7963,116.388,20.1141,64
709,131.9323,40.55,0.03,181.5322,39.2892,123.1567,21.8152,64
710,140.54911,40.55,0.02,181.8477,45.8299,129.9057,23.8544,64
711,149.16593,40.55,0.01,181.2014,52.361,136.6492,26.2027,64
712,157.78274,40.55,0.01,179.1068,58.7987,143.411,28.8279,64
713,166.39956,40.55,0.02,174.6106,64.9955,150.2251,31.6947,64
714,175.01637,40.55,0.02,165.7887,70.6464,157.1382,34.7648,64
715,183.63318999999998,40.55,0.01,149.1913,75.0527,164.211,37.9969,64
716,192.25,40.55,0.01,123.0,76.85,171.522,41.3453,64
717,200.86681000000002,40.55,0.01,96.8087,75.0527,179.1704,44.7589,64
718,209.48363,40.55,0.02,80.2113,70.6464,187.2815,48.1783,64
719,218.10044,40.55,0.01,71.3894,64.9955,196.0095,51.5328,64
720,226.71726,40.55,0.01,66.8932,58.7987,205.5381,54.7354,64
721,235.33407000000003,40.55,0.02,64.7986,52.361,216.0677,57.6782,64
722,243.95089,40.55,0.01,64.1523,45.8299,227.7789,60.2281,64
723,252.5677,40.55,0.02,64.4678,39.2892,240.7533,62.2307,64
724,261.18452,40.55,0.04,65.4869,32.7963,254.8575,63.5266,64
725,269.80133,40.55,0.03,67.0707,26.3978,269.6558,63.9891,64
726,278.41815,40.55,0.04,69.1476,20.1368,284.4709,63.567,64
727,287.03496,40.55,0.11,71.6873,14.0583,298.619,62.3071,64
728,295.65178,40.55,0.2,74.6857,8.2113,311.6506,60.3337,64
729,304.26859,40.55,1.15,78.1565,2.652,323.4194,57.8055,64
730,312.82187000000005,40.55,0.72,82.0919,-2.5179,333.9259,54.9005,64
731,321.3116,40.55,0.19,86.507,-7.2339,343.368,51.7572,64
732,329.743,40.55,0.29,91.4131,-11.4275,351.9629,48.4832,64
733,338.1744,40.55,0.12,96.8425,-15.0455,359.9525,45.1403,64
734,346.6058,40.55,0.17,102.7717,-17.997,7.4843,41.796,64
735,355.0372,40.55,0.14,109.1382,-20.1941,14.6786,38.5072,64
736,2.21291,47.75,0.08,116.0539,-14.3091,25.3468,41.9753,64
737,12.25,47.75,0.1,123.0,-14.85,32.9161,38.4908,64
738,22.28709,47.75,0.07,129.9461,-14.3091,40.3419,35.2894,64
739,32.32418,47.75,0.16,136.6847,-12.7105,47.6945,32.4204,64
740,42.361270000000005,47.75,0.23,143.0382,-10.1214,55.0216,29.929,64
741,52.39836,47.75,0.44,148.8775,-6.6404,62.353,27.8554,64
742,62.43545,47.75,0.85,154.1249,-2.3827,69.7043,26.2343,64
743,72.25385,47.75,0.73,158.6498,2.4194,76.9187,25.1134,64
744,81.85354,47.75,0.29,162.4813,7.6203,83.9908,24.4805,64
745,91.27823000000001,47.75,0.19,165.6701,13.1226,90.9431,24.3149,64
746,100.70291999999999,47.75,0.12,168.2823,18.9372,97.8939,24.6036,64
747,110.12762,47.75,0.08,170.2916,24.9902,104.8331,25.3419,64
748,119.55231,47.75,0.06,171.64,31.2106,111.7535,26.518,64
749,128.977,47.75,0.03,172.219,37.5255,118.6526,28.1135,64
750,138.40169,47.75,0.02,171.8382,43.8519,125.5352,30.1042,64
751,147.82638,47.75,0.02,170.1748,50.0827,132.4155,32.4608,64
752,157.25108,47.75,0.01,166.6889,56.0615,139.3186,35.1497,64
753,166.67577,47.75,0.02,160.5138,61.5342,146.2838,38.1338,64
754,176.10046,47.75,0.02,150.4537,66.0684,153.3674,41.3722,64
755,185.52515,47.75,0.02,135.6822,68.9838,160.6481,44.8205,64
756,194.94985,47.75,0.01,117.8014,69.5411,168.2345,48.4289,64
757,204.72454,47.75,0.02,100.7532,67.4423,176.5867,52.2791,64
758,214.49922999999998,47.75,0.01,88.5269,63.2707,185.6642,56.1625,64
759,224.27392000000003,47.75,0.02,80.9181,57.8597,195.7967,59.979,64
760,234.04862000000003,47.75,0.01,76.5829,51.7818,207.4365,63.5912,64
761,243.82331000000002,47.75,0.01,74.4298,45.3695,221.1467,66.8034,64
762,253.598,47.75,0.02,73.7726,38.8198,237.4405,69.3423,64
763,263.37269,47.75,0.02,74.2057,32.2614,256.3,70.8743,64
764,273.14738,47.75,0.04,75.4941,25.7907,276.55,71.1177,64
